G1,G2,G3,studytime,failures,learning_gaps
14,14,15,3,0,[]
14,14,14,3,0,[]
13,14,13,3,0,[]
17,18,17,1,0,[]
11,10,10,1,0,['M10GE-IIa-1']
13,12,13,3,0,[]
15,14,15,3,0,[]
11,12,11,1,0,['M10GE-IIa-1']
11,11,12,4,0,[]
11,10,10,1,0,['M10GE-IIa-1']
10,9,10,2,0,['M10GE-IIa-1']
15,15,15,3,0,[]
15,14,15,1,0,[]
10,11,12,2,0,[]
10,9,12,2,0,[]
14,13,14,4,0,[]
11,13,14,3,0,[]
12,13,15,2,0,[]
14,14,15,4,0,[]
14,14,16,2,0,[]
12,12,13,2,0,[]
16,16,17,2,0,[]
10,12,14,2,0,[]
11,12,14,3,0,[]
14,16,17,3,0,[]
15,14,17,3,0,[]
14,13,14,3,0,[]
11,12,13,3,0,[]
12,15,15,2,0,[]
12,16,16,2,0,[]
10,11,11,1,1,['M10GE-IIa-1']
10,13,13,1,1,[]
9,12,12,3,2,[]
9,11,12,2,0,[]
13,14,15,2,0,[]
13,17,17,2,0,[]
12,15,15,3,0,[]
14,17,17,2,0,[]
9,10,10,2,2,['M10GE-IIa-1']
11,15,15,3,0,[]
9,10,11,1,1,['M10GE-IIa-1']
16,18,18,2,0,[]
14,17,17,3,0,[]
13,14,14,1,0,[]
7,11,11,1,0,['M10GE-IIa-1']
14,17,17,2,0,[]
8,10,10,1,1,['M10GE-IIa-1']
10,13,13,2,0,[]
10,11,11,1,0,['M10GE-IIa-1']
12,12,12,2,0,[]
10,10,10,1,1,['M10GE-IIa-1']
10,10,11,1,0,['M10GE-IIa-1']
16,17,17,2,0,[]
6,8,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,11,11,2,0,['M10GE-IIa-1']
10,11,11,3,0,['M10GE-IIa-1']
10,10,10,2,1,['M10GE-IIa-1']
6,6,7,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
13,14,14,1,0,[]
10,9,11,4,0,['M10GE-IIa-1']
10,10,10,2,0,['M10GE-IIa-1']
6,7,8,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
12,11,12,1,0,[]
10,11,12,1,0,[]
14,16,16,1,0,[]
7,0,0,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,9,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
12,13,14,2,0,[]
7,9,8,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,10,11,2,0,['M10GE-IIa-1']
7,9,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
11,11,11,2,0,['M10GE-IIa-1']
8,10,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
16,16,17,3,0,[]
11,13,13,1,0,[]
15,15,15,2,0,[]
10,11,11,2,0,['M10GE-IIa-1']
9,10,11,2,0,['M10GE-IIa-1']
10,8,8,3,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,8,8,3,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,10,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
13,14,15,2,0,[]
10,11,11,1,0,['M10GE-IIa-1']
13,10,13,4,0,[]
10,9,10,3,0,['M10GE-IIa-1']
11,10,11,2,0,['M10GE-IIa-1']
13,12,14,1,0,[]
13,14,14,2,0,[]
14,11,12,3,0,[]
11,11,11,1,0,['M10GE-IIa-1']
9,8,8,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,9,11,1,0,['M10GE-IIa-1']
14,13,14,2,0,[]
13,12,13,1,0,[]
13,12,13,2,0,[]
13,12,12,2,0,[]
12,11,12,2,1,[]
14,14,16,1,0,[]
10,8,10,1,0,['M10GE-IIa-1']
10,11,11,1,0,['M10GE-IIa-1']
12,13,14,3,0,[]
10,8,8,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
12,10,11,1,0,['M10GE-IIa-1']
7,7,8,2,3,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,9,10,1,0,['M10GE-IIa-1']
9,9,10,1,1,['M10GE-IIa-1']
9,10,11,1,0,['M10GE-IIa-1']
9,10,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,10,11,2,0,['M10GE-IIa-1']
7,7,8,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
11,10,11,2,0,['M10GE-IIa-1']
9,10,10,1,1,['M10GE-IIa-1']
7,9,10,3,2,['M10GE-IIa-1']
7,9,9,3,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,9,10,1,1,['M10GE-IIa-1']
9,11,10,1,1,['M10GE-IIa-1']
7,8,9,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,10,10,2,0,['M10GE-IIa-1']
9,9,10,1,0,['M10GE-IIa-1']
8,9,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,13,13,1,0,[]
14,14,14,1,0,[]
10,11,10,4,1,['M10GE-IIa-1']
14,13,14,2,0,[]
17,16,16,1,0,[]
6,7,7,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,12,13,1,0,[]
10,8,9,4,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,14,14,4,0,[]
12,13,13,3,0,[]
11,11,11,1,0,['M10GE-IIa-1']
11,9,10,2,1,['M10GE-IIa-1']
11,11,10,3,0,['M10GE-IIa-1']
10,9,9,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
16,17,18,2,0,[]
15,17,17,2,0,[]
11,9,10,2,0,['M10GE-IIa-1']
7,7,7,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,6,8,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
7,6,7,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,8,10,2,0,['M10GE-IIa-1']
14,16,16,2,0,[]
14,14,15,1,0,[]
8,5,8,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,7,0,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
6,8,8,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,10,10,2,0,['M10GE-IIa-1']
8,8,8,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
5,6,6,4,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
7,9,8,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
15,14,16,3,0,[]
13,14,14,1,0,[]
10,9,10,3,0,['M10GE-IIa-1']
9,9,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
11,11,11,1,0,['M10GE-IIa-1']
7,10,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,10,10,2,0,['M10GE-IIa-1']
9,7,8,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,15,16,2,0,[]
11,12,12,1,0,[]
9,11,10,2,0,['M10GE-IIa-1']
13,14,14,4,0,[]
12,13,12,1,0,[]
11,11,11,3,0,['M10GE-IIa-1']
9,10,10,2,0,['M10GE-IIa-1']
9,11,11,1,0,['M10GE-IIa-1']
11,9,11,2,0,['M10GE-IIa-1']
10,11,12,3,0,[]
9,9,8,1,3,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
12,11,12,1,0,[]
8,9,8,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
13,15,16,2,0,[]
10,11,11,1,0,['M10GE-IIa-1']
11,10,11,2,0,['M10GE-IIa-1']
17,18,18,2,0,[]
12,13,13,2,0,[]
13,14,13,2,0,[]
9,9,10,2,2,['M10GE-IIa-1']
11,11,12,1,0,[]
10,11,10,1,0,['M10GE-IIa-1']
13,14,13,3,0,[]
9,10,11,1,0,['M10GE-IIa-1']
7,9,10,2,3,['M10GE-IIa-1']
8,13,10,1,0,['M10GE-IIa-1']
12,12,13,1,1,[]
10,9,10,1,0,['M10GE-IIa-1']
10,9,10,2,0,['M10GE-IIa-1']
11,13,12,2,0,[]
7,0,0,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
11,9,10,1,0,['M10GE-IIa-1']
10,10,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,7,9,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
4,0,0,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
6,11,9,1,3,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
4,8,8,2,2,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
7,8,8,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,9,9,1,3,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
5,5,7,2,2,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
7,9,10,1,0,['M10GE-IIa-1']
8,11,10,1,1,['M10GE-IIa-1']
10,11,10,1,0,['M10GE-IIa-1']
9,10,11,1,0,['M10GE-IIa-1']
10,9,11,2,1,['M10GE-IIa-1']
8,9,10,2,1,['M10GE-IIa-1']
9,10,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,9,10,1,1,['M10GE-IIa-1']
6,8,8,2,2,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
6,8,7,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,6,0,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,11,11,1,0,['M10GE-IIa-1']
8,7,8,3,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,8,0,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
7,6,8,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
8,10,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
7,10,10,1,0,['M10GE-IIa-1']
7,8,7,2,2,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
12,13,14,2,0,[]
11,12,13,1,0,[]
12,13,14,2,0,[]
18,18,18,2,0,[]
17,17,17,1,0,[]
17,18,18,2,0,[]
9,0,0,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,11,11,1,0,['M10GE-IIa-1']
12,13,14,1,0,[]
12,13,14,1,0,[]
8,8,10,2,0,['M10GE-IIa-1']
11,12,13,3,0,[]
5,0,0,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,10,10,2,1,['M10GE-IIa-1']
5,0,0,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
18,18,18,4,0,[]
11,11,12,2,0,[]
8,10,11,2,0,['M10GE-IIa-1']
11,11,12,2,0,[]
8,0,0,2,3,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,14,15,3,0,[]
10,11,11,2,1,['M10GE-IIa-1']
10,10,10,2,0,['M10GE-IIa-1']
12,12,12,2,0,[]
15,14,15,2,0,[]
14,13,14,1,0,[]
19,17,18,3,0,[]
16,15,15,2,0,[]
13,12,13,2,0,[]
15,14,15,2,0,[]
13,13,13,2,0,[]
8,10,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
15,16,16,3,0,[]
8,8,9,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,10,10,1,0,['M10GE-IIa-1']
7,5,0,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
9,10,10,1,0,['M10GE-IIa-1']
10,11,12,3,0,[]
7,8,9,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
15,17,17,3,0,[]
10,11,12,3,0,[]
7,8,9,2,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
13,14,14,2,0,[]
16,16,16,2,0,[]
8,9,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
17,18,19,2,0,[]
7,7,0,1,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,15,16,2,0,[]
5,8,0,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
7,7,0,1,1,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
14,17,15,3,0,[]
6,9,11,2,0,['M10GE-IIa-1']
7,9,10,1,0,['M10GE-IIa-1']
10,11,10,3,1,['M10GE-IIa-1']
15,15,16,2,0,[]
11,12,9,2,0,"['M10AL-Ia-1', 'M10AL-Ib-1', 'M10GE-IIa-1', 'M10SP-IIIa-1']"
10,10,10,1,0,['M10GE-IIa-1']
10,11,11,1,0,['M10GE-IIa-1']
